,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity
138,2021-05-27 16:20:28+00:00,813,News,nyt://article/90604972-e296-5108-8e89-ddb087a91ee8,"If digital-world nightclubs get harder to access, we risk missing out on new ideas.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"If digital-world nightclubs get harder to access, we risk missing out on new ideas.",The Future Is Velvet Ropes,"If digital-world nightclubs get harder to access, we risk missing out on new ideas. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. If digital-world nightclubs get harder to access, we risk missing out on new ideas. The Future Is Velvet Ropes ",2,0,-0.04675324675324676,0.162012987012987
139,2020-02-02 19:15:18+00:00,1414,News,nyt://article/9097dde9-0c30-5e18-9deb-68c4c64c01fb,Uplifting spots from major brands stayed away from divisive issues on TV’s biggest ad day. But Trump and Bloomberg crashed the party.,"An audience expected to be around 100 million. Big companies paying as much as $5.6 million for 30 seconds of advertising time. In addition to deciding the National Football League champion, the Super Bowl is the biggest event of the year for TV commercials.",Uplifting spots from major brands stayed away from divisive issues on TV’s biggest ad day. But Trump and Bloomberg crashed the party.,"2020 Super Bowl Commercials: Funeral for Mr. Peanut, Tears for Google","Uplifting spots from major brands stayed away from divisive issues on TV’s biggest ad day. But Trump and Bloomberg crashed the party. An audience expected to be around 100 million. Big companies paying as much as $5.6 million for 30 seconds of advertising time. In addition to deciding the National Football League champion, the Super Bowl is the biggest event of the year for TV commercials. Uplifting spots from major brands stayed away from divisive issues on TV’s biggest ad day. But Trump and Bloomberg crashed the party. 2020 Super Bowl Commercials: Funeral for Mr. Peanut, Tears for Google ",5,1,0.12738095238095237,0.4333333333333333
140,2021-07-07 22:28:03+00:00,867,News,nyt://article/910c4632-bda2-54fe-b2c9-526fc5b35a93,Software developers have accused the company of harsh policies and taking a large cut of financial transactions in their apps.,"WASHINGTON — A group of 36 states and the District of Columbia sued Google on Wednesday over claims that its mobile app store abuses its market power and forces aggressive terms on software developers, expanding the legal challenges facing the internet search giant.",Software developers have accused the company of harsh policies and taking a large cut of financial transactions in their apps.,Dozens of States Sue Google Over App Store Fees,"Software developers have accused the company of harsh policies and taking a large cut of financial transactions in their apps. WASHINGTON — A group of 36 states and the District of Columbia sued Google on Wednesday over claims that its mobile app store abuses its market power and forces aggressive terms on software developers, expanding the legal challenges facing the internet search giant. Software developers have accused the company of harsh policies and taking a large cut of financial transactions in their apps. Dozens of States Sue Google Over App Store Fees ",1,2,0.028571428571428567,0.4321428571428571
141,2020-10-22 09:00:21+00:00,845,News,nyt://article/9225403b-6397-5ea0-b4a5-7f5f3112f3f7,"Jeffrey A. Rosen, the deputy attorney general, said the Justice Department knew the company would use its many resources to fight the agency.","Jeffrey A. Rosen, the deputy attorney general, wouldn’t normally oversee an antitrust investigation into Google. It would usually fall to the head of the Justice Department’s antitrust division. But that official, Makan Delrahim, recused himself because the company is a former legal client.","Jeffrey A. Rosen, the deputy attorney general, said the Justice Department knew the company would use its many resources to fight the agency.",Top Investigator in Google Case Says There ‘Was Not a Rush’ to Sue,"Jeffrey A. Rosen, the deputy attorney general, said the Justice Department knew the company would use its many resources to fight the agency. Jeffrey A. Rosen, the deputy attorney general, wouldn’t normally oversee an antitrust investigation into Google. It would usually fall to the head of the Justice Department’s antitrust division. But that official, Makan Delrahim, recused himself because the company is a former legal client. Jeffrey A. Rosen, the deputy attorney general, said the Justice Department knew the company would use its many resources to fight the agency. Top Investigator in Google Case Says There ‘Was Not a Rush’ to Sue ",3,2,0.17500000000000002,0.41
142,2020-10-21 11:00:20+00:00,1130,News,nyt://article/93083864-518f-5b30-8043-9f695c108f8c,A sweeping antitrust lawsuit arrives: This is your morning tip sheet.,"The Justice Department takes on Google, but Trump wants it to look elsewhere, too: into Biden’s family. It’s Wednesday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday.",A sweeping antitrust lawsuit arrives: This is your morning tip sheet.,The Justice Dept. vs. Google,"A sweeping antitrust lawsuit arrives: This is your morning tip sheet. The Justice Department takes on Google, but Trump wants it to look elsewhere, too: into Biden’s family. It’s Wednesday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday. A sweeping antitrust lawsuit arrives: This is your morning tip sheet. The Justice Dept. vs. Google ",2,2,0.2,0.1
143,2020-10-20 22:23:21+00:00,1130,Op-Ed,nyt://article/935a5709-8195-5c86-b0ea-756c42e94f6f,The time to do anything substantive about the overwhelming power of the giant tech companies passed very long ago.,"It might seem a Silicon Valley cliché, but it was a garage — a pretty dumpy one for those who got to visit it just over two decades ago — that served as the birthplace of what the U.S. government today is calling a crippler of competition, a reducer of consumer choice and a stifler of innovation.",The time to do anything substantive about the overwhelming power of the giant tech companies passed very long ago.,"The Justice Dept.’s Lawsuit Against Google: Too Little, Too Late","The time to do anything substantive about the overwhelming power of the giant tech companies passed very long ago. It might seem a Silicon Valley cliché, but it was a garage — a pretty dumpy one for those who got to visit it just over two decades ago — that served as the birthplace of what the U.S. government today is calling a crippler of competition, a reducer of consumer choice and a stifler of innovation. The time to do anything substantive about the overwhelming power of the giant tech companies passed very long ago. The Justice Dept.’s Lawsuit Against Google: Too Little, Too Late ",2,1,0.07027777777777779,0.7933333333333332
144,2020-02-20 23:21:02+00:00,856,News,nyt://article/93bfcad9-9b67-5ba5-b56d-cd38cf02da75,"The lawsuit says that Google, the top tech brand in public schools, used its educational products to spy on students.","New Mexico’s attorney general sued Google on Thursday, saying the tech giant used its educational products to spy on the state’s children and families.","The lawsuit says that Google, the top tech brand in public schools, used its educational products to spy on students.",New Mexico Sues Google Over Children’s Privacy Violations,"The lawsuit says that Google, the top tech brand in public schools, used its educational products to spy on students. New Mexico’s attorney general sued Google on Thursday, saying the tech giant used its educational products to spy on the state’s children and families. The lawsuit says that Google, the top tech brand in public schools, used its educational products to spy on students. New Mexico Sues Google Over Children’s Privacy Violations ",4,4,0.1884297520661157,0.39022038567493117
145,2020-03-10 15:44:21+00:00,1412,News,nyt://article/93d985f5-e72e-5ff8-b1e5-d7668f31b4fb,"Faced with an array of opponents for its sensor-laden city of tomorrow in Toronto, a Google sibling has drastically dialed back plans. The critics now want the tech giant to quit altogether.","TORONTO — The announcement was big enough for Prime Minister Justin Trudeau to fly down to Toronto and deliver. A corporate sibling of Google had been selected to transform a largely abandoned port area in Toronto into an innovative, sensor-laden, tech-centric city of tomorrow.","Faced with an array of opponents for its sensor-laden city of tomorrow in Toronto, a Google sibling has drastically dialed back plans. The critics now want the tech giant to quit altogether.",You Can’t Fight City Hall. But Maybe You Can Fight Google.,"Faced with an array of opponents for its sensor-laden city of tomorrow in Toronto, a Google sibling has drastically dialed back plans. The critics now want the tech giant to quit altogether. TORONTO — The announcement was big enough for Prime Minister Justin Trudeau to fly down to Toronto and deliver. A corporate sibling of Google had been selected to transform a largely abandoned port area in Toronto into an innovative, sensor-laden, tech-centric city of tomorrow. Faced with an array of opponents for its sensor-laden city of tomorrow in Toronto, a Google sibling has drastically dialed back plans. The critics now want the tech giant to quit altogether. You Can’t Fight City Hall. But Maybe You Can Fight Google. ",2,4,0.12352092352092353,0.47431457431457424
147,2021-01-29 04:03:39+00:00,1358,News,nyt://article/95934b43-86f0-54a0-8c13-ddeb2844c4fd,"After the tech giant threatened to take its search engine offline in Australia, I’ve been looking into some alternatives.",It’s the first port of call for any random question that pops into our heads. The repository of basically all knowledge on the internet. The search engine so ubiquitous it’s a verb.,"After the tech giant threatened to take its search engine offline in Australia, I’ve been looking into some alternatives.",My Attempt to Prepare for a Future Without Google,"After the tech giant threatened to take its search engine offline in Australia, I’ve been looking into some alternatives. It’s the first port of call for any random question that pops into our heads. The repository of basically all knowledge on the internet. The search engine so ubiquitous it’s a verb. After the tech giant threatened to take its search engine offline in Australia, I’ve been looking into some alternatives. My Attempt to Prepare for a Future Without Google ",2,1,-0.05,0.5916666666666666
148,2020-05-07 16:11:40+00:00,1070,News,nyt://article/95ef1b84-2bc3-5c36-a00a-d6ae1542918e,"In scrapping the project, the company cited the economic upheaval caused by the coronavirus pandemic, but critics say it was a loser from the start and a failure in “surveillance capitalism.”","OTTAWA — Citing the economic turmoil from the coronavirus pandemic, a corporate sibling of Google said on Thursday that it had abandoned ambitious plans to create a sensor-laden, data driven “city of tomorrow” out of a shabby district along Toronto’s Lake Ontario shoreline.","In scrapping the project, the company cited the economic upheaval caused by the coronavirus pandemic, but critics say it was a loser from the start and a failure in “surveillance capitalism.”",Google Sibling Abandons Ambitious City of the Future in Toronto,"In scrapping the project, the company cited the economic upheaval caused by the coronavirus pandemic, but critics say it was a loser from the start and a failure in “surveillance capitalism.” OTTAWA — Citing the economic turmoil from the coronavirus pandemic, a corporate sibling of Google said on Thursday that it had abandoned ambitious plans to create a sensor-laden, data driven “city of tomorrow” out of a shabby district along Toronto’s Lake Ontario shoreline. In scrapping the project, the company cited the economic upheaval caused by the coronavirus pandemic, but critics say it was a loser from the start and a failure in “surveillance capitalism.” Google Sibling Abandons Ambitious City of the Future in Toronto ",3,2,0.05185185185185184,0.3138888888888889
149,2020-10-13 17:13:05+00:00,1369,News,nyt://article/975c9537-3241-5ba3-b368-3a4fce2ae23a,A company operating in the shadow of government regulators has some very particular rules about what workers can say about it.,"OAKLAND, Calif. — Google employees are not shy about speaking up. In the last few years, they have openly confronted the company about building a censored search engine in China, the handling of sexual harassment claims and its work with the Pentagon on artificial intelligence technology for weapons.",A company operating in the shadow of government regulators has some very particular rules about what workers can say about it.,Google Employees Are Free to Speak Up. Except on Antitrust.,"A company operating in the shadow of government regulators has some very particular rules about what workers can say about it. OAKLAND, Calif. — Google employees are not shy about speaking up. In the last few years, they have openly confronted the company about building a censored search engine in China, the handling of sexual harassment claims and its work with the Pentagon on artificial intelligence technology for weapons. A company operating in the shadow of government regulators has some very particular rules about what workers can say about it. Google Employees Are Free to Speak Up. Except on Antitrust. ",1,2,0.08703703703703704,0.5185185185185186
150,2020-08-14 11:58:19+00:00,1827,News,nyt://article/9864c477-11bb-5055-bf5f-eba7b89f8969,"A gutsy gambit by the maker of Fortnite, which is locked in a fight with Apple and Google.",Want this delivered to your inbox each day? Sign up here.,"A gutsy gambit by the maker of Fortnite, which is locked in a fight with Apple and Google.",An Epic Battle,"A gutsy gambit by the maker of Fortnite, which is locked in a fight with Apple and Google. Want this delivered to your inbox each day? Sign up here. A gutsy gambit by the maker of Fortnite, which is locked in a fight with Apple and Google. An Epic Battle ",5,2,0.1,0.4
153,2020-07-21 18:42:22+00:00,1021,News,nyt://article/995e0af8-0474-5b33-8407-e40dec426790,"Apple said on Tuesday its devices would be carbon-neutral by 2030, making it the latest tech giant to ramp up voluntary climate targets.","The titans of the tech industry like to think of themselves as solvers of big world problems, and, lately, they’re tripping over themselves to show that they are working to solve a problem for which they, too, are culpable: climate change.","Apple said on Tuesday its devices would be carbon-neutral by 2030, making it the latest tech giant to ramp up voluntary climate targets.","Big Tech Has a Big Climate Problem. Now, It’s Being Forced to Clean Up.","Apple said on Tuesday its devices would be carbon-neutral by 2030, making it the latest tech giant to ramp up voluntary climate targets. The titans of the tech industry like to think of themselves as solvers of big world problems, and, lately, they’re tripping over themselves to show that they are working to solve a problem for which they, too, are culpable: climate change. Apple said on Tuesday its devices would be carbon-neutral by 2030, making it the latest tech giant to ramp up voluntary climate targets. Big Tech Has a Big Climate Problem. Now, It’s Being Forced to Clean Up. ",3,0,0.07666666666666666,0.5599999999999999
154,2020-08-03 15:00:09+00:00,1138,News,nyt://article/99701a1b-b73c-545e-9aa5-aa67cbdaf388,"Yes, you can now pay less than $399 for a smartphone — and it won’t stink.","People generally adore Google for bringing useful technology to the masses at an aggressively low price, if not free.","Yes, you can now pay less than $399 for a smartphone — and it won’t stink.","Google Pixel 4A Review: At $350, a Win for Those on a Budget","Yes, you can now pay less than $399 for a smartphone — and it won’t stink. People generally adore Google for bringing useful technology to the masses at an aggressively low price, if not free. Yes, you can now pay less than $399 for a smartphone — and it won’t stink. Google Pixel 4A Review: At $350, a Win for Those on a Budget ",5,2,0.0880952380952381,0.30476190476190473
155,2020-07-20 17:35:34+00:00,1192,News,nyt://article/997ffa2b-a9ea-5767-b42c-e739ddd2b0c2,Some government agencies that use the software said they were surprised that Google may pick up the locations of certain app users. Others said they had unsuccessfully pushed Google to make a change.,"When Google and Apple announced plans in April for free software to help alert people of their possible exposure to the coronavirus, the companies promoted it as “privacy preserving” and said it would not track users’ locations. Encouraged by those guarantees, Germany, Switzerland and other countries used the code to develop national virus alert apps that have been downloaded more than 20 million times.",Some government agencies that use the software said they were surprised that Google may pick up the locations of certain app users. Others said they had unsuccessfully pushed Google to make a change.,Google Promises Privacy With Virus App but Can Still Collect Location Data,"Some government agencies that use the software said they were surprised that Google may pick up the locations of certain app users. Others said they had unsuccessfully pushed Google to make a change. When Google and Apple announced plans in April for free software to help alert people of their possible exposure to the coronavirus, the companies promoted it as “privacy preserving” and said it would not track users’ locations. Encouraged by those guarantees, Germany, Switzerland and other countries used the code to develop national virus alert apps that have been downloaded more than 20 million times. Some government agencies that use the software said they were surprised that Google may pick up the locations of certain app users. Others said they had unsuccessfully pushed Google to make a change. Google Promises Privacy With Virus App but Can Still Collect Location Data ",5,6,0.1754464285714286,0.7022321428571429
156,2021-11-12 10:00:13+00:00,2583,Op-Ed,nyt://article/99e1becf-9c99-5545-9c3f-b08e58f77922,Ending data extraction is the key to ending surveillance capitalism.,Facebook is not just any corporation. It reached trillion-dollar status in a single decade by applying the logic of what I call surveillance capitalism — an economic system built on the secret extraction and manipulation of human data — to its vision of connecting the entire world. Facebook and other leading surveillance capitalist corporations now control information flows and communication infrastructures across the world.,Ending data extraction is the key to ending surveillance capitalism.,You Are the Object of a Secret Extraction Operation,Ending data extraction is the key to ending surveillance capitalism. Facebook is not just any corporation. It reached trillion-dollar status in a single decade by applying the logic of what I call surveillance capitalism — an economic system built on the secret extraction and manipulation of human data — to its vision of connecting the entire world. Facebook and other leading surveillance capitalist corporations now control information flows and communication infrastructures across the world. Ending data extraction is the key to ending surveillance capitalism. You Are the Object of a Secret Extraction Operation ,4,0,-0.0884920634920635,0.546031746031746
157,2020-09-24 16:47:30+00:00,1161,News,nyt://article/9b8d4285-9764-586a-bea6-16eeeafc2152,Google is facing the possibility of multiple antitrust lawsuits. Here’s why and what’s ahead.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,Google is facing the possibility of multiple antitrust lawsuits. Here’s why and what’s ahead.,What’s the Deal With Google Now?,Google is facing the possibility of multiple antitrust lawsuits. Here’s why and what’s ahead. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Google is facing the possibility of multiple antitrust lawsuits. Here’s why and what’s ahead. What’s the Deal With Google Now? ,2,3,0.0,0.0
159,2020-03-14 09:00:07+00:00,793,News,nyt://article/9ffd4eba-b19a-5bc7-a4f4-dab83aefb891,"The Music Issue, out on March 15, introduces a multimedia experience that bridges print and digital through your smartphone.","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.","The Music Issue, out on March 15, introduces a multimedia experience that bridges print and digital through your smartphone.",Getting The New York Times Magazine to Jump Off the Page,"The Music Issue, out on March 15, introduces a multimedia experience that bridges print and digital through your smartphone. Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together. The Music Issue, out on March 15, introduces a multimedia experience that bridges print and digital through your smartphone. Getting The New York Times Magazine to Jump Off the Page ",4,0,0.04545454545454545,0.15151515151515152
160,2021-09-13 09:00:07+00:00,907,News,nyt://article/a0b2a362-79a6-5797-aea4-c0af586af0aa,"Dictionaries reward you for paying attention, both to the things you consume and to your own curiosity.","I can’t remember how old I was when I first learned the words denotation (the definition of a word) and connotation (the suggestion of a word). But I do remember feeling a little betrayed by the idea that there was a whole layer of language that couldn’t quite be conveyed through a dictionary. Like most young people, I enjoyed learning but thought of it as something I would eventually be done with. At some age, I assumed, I would need to know everything. Understanding the nuances of language seemed like an obstacle to that goal. ","Dictionaries reward you for paying attention, both to the things you consume and to your own curiosity.",Why Use a Dictionary in the Age of Internet Search?,"Dictionaries reward you for paying attention, both to the things you consume and to your own curiosity. I can’t remember how old I was when I first learned the words denotation (the definition of a word) and connotation (the suggestion of a word). But I do remember feeling a little betrayed by the idea that there was a whole layer of language that couldn’t quite be conveyed through a dictionary. Like most young people, I enjoyed learning but thought of it as something I would eventually be done with. At some age, I assumed, I would need to know everything. Understanding the nuances of language seemed like an obstacle to that goal.  Dictionaries reward you for paying attention, both to the things you consume and to your own curiosity. Why Use a Dictionary in the Age of Internet Search? ",4,0,0.29583333333333334,0.5592592592592592
162,2021-03-25 22:45:22+00:00,1246,News,nyt://article/a1f18a98-7127-5ae4-922b-337deddf843b,"The leaders of Google, Facebook and Twitter faced sharp questions about misinformation’s role in the attack and the mental health of children who use their products.","WASHINGTON — Lawmakers grilled the leaders of Facebook, Google and Twitter on Thursday about the connection between online disinformation and the Jan. 6 riot at the Capitol, causing Twitter’s chief executive to publicly admit for the first time that his product had played a role in the events that left five people dead.","The leaders of Google, Facebook and Twitter faced sharp questions about misinformation’s role in the attack and the mental health of children who use their products.","Lawmakers Grill Tech C.E.O.s on Capitol Riot, Getting Few Direct Answers","The leaders of Google, Facebook and Twitter faced sharp questions about misinformation’s role in the attack and the mental health of children who use their products. WASHINGTON — Lawmakers grilled the leaders of Facebook, Google and Twitter on Thursday about the connection between online disinformation and the Jan. 6 riot at the Capitol, causing Twitter’s chief executive to publicly admit for the first time that his product had played a role in the events that left five people dead. The leaders of Google, Facebook and Twitter faced sharp questions about misinformation’s role in the attack and the mental health of children who use their products. Lawmakers Grill Tech C.E.O.s on Capitol Riot, Getting Few Direct Answers ",4,3,-0.05000000000000001,0.32
164,2020-10-29 09:00:07+00:00,247,Op-Ed,nyt://article/a2bc9142-0261-5aed-9961-e224b031c690,How antitrust lawyer Lina Khan is taking on the most powerful men in Silicon Valley.,"It finally looks as if Big Tech may face some breakups. Lawmakers are interrogating tech C.E.O.s on Capitol Hill while the Justice Department pursues a landmark antitrust case against Google. For decades, tech giants have avoided such scrutiny — hiding behind the idea that their products are free, beneficial, even beloved.",How antitrust lawyer Lina Khan is taking on the most powerful men in Silicon Valley.,She’s Bursting Big Tech’s Bubble,"How antitrust lawyer Lina Khan is taking on the most powerful men in Silicon Valley. It finally looks as if Big Tech may face some breakups. Lawmakers are interrogating tech C.E.O.s on Capitol Hill while the Justice Department pursues a landmark antitrust case against Google. For decades, tech giants have avoided such scrutiny — hiding behind the idea that their products are free, beneficial, even beloved. How antitrust lawyer Lina Khan is taking on the most powerful men in Silicon Valley. She’s Bursting Big Tech’s Bubble ",3,1,0.20909090909090908,0.6545454545454544
166,2020-09-01 20:14:30+00:00,723,News,nyt://article/a41e9f5b-e443-5fe0-b8b7-3c5b2791b1bf,"The tech giants said states could soon send notices directly to smartphones asking people to opt in to the technology, which helps trace the coronavirus.",Several state governments may soon send residents an alert asking them to turn on “exposure notifications.”,"The tech giants said states could soon send notices directly to smartphones asking people to opt in to the technology, which helps trace the coronavirus.",Apple and Google to Make It Easier to Opt In to Virus Tracing,"The tech giants said states could soon send notices directly to smartphones asking people to opt in to the technology, which helps trace the coronavirus. Several state governments may soon send residents an alert asking them to turn on “exposure notifications.” The tech giants said states could soon send notices directly to smartphones asking people to opt in to the technology, which helps trace the coronavirus. Apple and Google to Make It Easier to Opt In to Virus Tracing ",2,1,0.06666666666666667,0.26666666666666666
167,2021-02-17 15:32:03+00:00,1260,News,nyt://article/a52c8d5e-d5a4-5cd4-a187-c66d3f974e93,"With Australia moving to make the tech companies pay for news, Facebook took a hard line, while Google has struck deals to pay publishers.","SAN FRANCISCO — For months, Facebook and Google have been locked in a stare-down with news publishers and lawmakers in Australia.","With Australia moving to make the tech companies pay for news, Facebook took a hard line, while Google has struck deals to pay publishers.","Facebook Blocks News in Australia, Diverging With Google on Proposed Law","With Australia moving to make the tech companies pay for news, Facebook took a hard line, while Google has struck deals to pay publishers. SAN FRANCISCO — For months, Facebook and Google have been locked in a stare-down with news publishers and lawmakers in Australia. With Australia moving to make the tech companies pay for news, Facebook took a hard line, while Google has struck deals to pay publishers. Facebook Blocks News in Australia, Diverging With Google on Proposed Law ",3,4,-0.2916666666666667,0.5416666666666666
168,2020-12-11 17:31:13+00:00,1200,News,nyt://article/a5385b89-2924-534e-ad77-5c52c51180cf,These Google and Apple apps work and aren’t stealing all your data. More people should use them.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,These Google and Apple apps work and aren’t stealing all your data. More people should use them.,Give Virus Alert Apps a Shot,These Google and Apple apps work and aren’t stealing all your data. More people should use them. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. These Google and Apple apps work and aren’t stealing all your data. More people should use them. Give Virus Alert Apps a Shot ,3,2,0.5,0.5
169,2021-11-03 18:37:43+00:00,1302,News,nyt://article/a5f78e5e-b7ea-5778-a611-3fcbcf1cfc1f,"Three years ago, the company walked away from a Defense Department project after employees objected to it. Now the company is working on a new proposal for the Pentagon.","Three years after an employee revolt forced Google to abandon work on a Pentagon program that used artificial intelligence, the company is aggressively pursuing a major contract to provide its technology to the military.","Three years ago, the company walked away from a Defense Department project after employees objected to it. Now the company is working on a new proposal for the Pentagon.","Google Wants to Work With the Pentagon Again, Despite Employee Concerns","Three years ago, the company walked away from a Defense Department project after employees objected to it. Now the company is working on a new proposal for the Pentagon. Three years after an employee revolt forced Google to abandon work on a Pentagon program that used artificial intelligence, the company is aggressively pursuing a major contract to provide its technology to the military. Three years ago, the company walked away from a Defense Department project after employees objected to it. Now the company is working on a new proposal for the Pentagon. Google Wants to Work With the Pentagon Again, Despite Employee Concerns ",1,2,-0.0663961038961039,0.4012987012987013
170,2020-07-20 16:49:44+00:00,1079,News,nyt://article/a6c22cfb-b662-5821-8f49-6bd761a9afb8,He has the perfect work-from-home job. And even he misses people.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,He has the perfect work-from-home job. And even he misses people.,How Porky Pig Works From Home,He has the perfect work-from-home job. And even he misses people. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. He has the perfect work-from-home job. And even he misses people. How Porky Pig Works From Home ,3,0,1.0,1.0
171,2021-07-13 11:27:13+00:00,471,News,nyt://article/a74adbf1-06f1-5d43-b5bc-5a61eeb07f6f,French officials said Google had ignored a 2020 order from regulators to negotiate a licensing deal with publishers to use short blurbs from articles in search results.,"Google was fined 500 million euros, or $593 million, by French antitrust authorities on Tuesday for failing to negotiate a deal in “good faith” with publishers to carry news on its platform, a victory for media companies that have been fighting to make up for a drop in advertising revenue that they attribute to the Silicon Valley giant.",French officials said Google had ignored a 2020 order from regulators to negotiate a licensing deal with publishers to use short blurbs from articles in search results.,France fines Google $593 million for not negotiating ‘in good faith’ with news publishers.,"French officials said Google had ignored a 2020 order from regulators to negotiate a licensing deal with publishers to use short blurbs from articles in search results. Google was fined 500 million euros, or $593 million, by French antitrust authorities on Tuesday for failing to negotiate a deal in “good faith” with publishers to carry news on its platform, a victory for media companies that have been fighting to make up for a drop in advertising revenue that they attribute to the Silicon Valley giant. French officials said Google had ignored a 2020 order from regulators to negotiate a licensing deal with publishers to use short blurbs from articles in search results. France fines Google $593 million for not negotiating ‘in good faith’ with news publishers. ",2,4,0.175,0.35000000000000003
172,2020-07-21 19:18:43+00:00,788,News,nyt://article/a7ee5ea2-4306-5c1a-99bc-f75bea16cee9,"What happens when you invite staff members to make a Google Doc, write about what they’re thinking and doing during the pandemic, and make it public? “Notes From Our Homes to Yours” brings journalists and readers closer.","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.","What happens when you invite staff members to make a Google Doc, write about what they’re thinking and doing during the pandemic, and make it public? “Notes From Our Homes to Yours” brings journalists and readers closer.",The New York Times Has Shared a File With You,"What happens when you invite staff members to make a Google Doc, write about what they’re thinking and doing during the pandemic, and make it public? “Notes From Our Homes to Yours” brings journalists and readers closer. Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together. What happens when you invite staff members to make a Google Doc, write about what they’re thinking and doing during the pandemic, and make it public? “Notes From Our Homes to Yours” brings journalists and readers closer. The New York Times Has Shared a File With You ",1,2,0.04545454545454545,0.19595959595959597
173,2020-05-16 00:04:23+00:00,754,News,nyt://article/a9864d64-3cb4-51a7-96eb-f3aad88c0e6c,The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,"WASHINGTON — The Justice Department is planning to file antitrust charges against Google as early as this summer, said two people with knowledge of the situation, in what would be one of the biggest antitrust actions by the United States since the late 1990s.",The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,U.S. Is Said to Plan to File Antitrust Charges Against Google,"The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s. WASHINGTON — The Justice Department is planning to file antitrust charges against Google as early as this summer, said two people with knowledge of the situation, in what would be one of the biggest antitrust actions by the United States since the late 1990s. The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s. U.S. Is Said to Plan to File Antitrust Charges Against Google ",1,2,-0.11666666666666665,0.5166666666666667
175,2020-10-23 16:16:52+00:00,1172,News,nyt://article/aa8517f9-af2b-5459-9892-3caeeba7d986,American politicians are divided on almost everything. They agree on this: Big Tech must change.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,American politicians are divided on almost everything. They agree on this: Big Tech must change.,Why Washington Hates Big Tech,American politicians are divided on almost everything. They agree on this: Big Tech must change. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. American politicians are divided on almost everything. They agree on this: Big Tech must change. Why Washington Hates Big Tech ,5,0,0.0,0.06000000000000001
177,2020-04-10 17:01:26+00:00,1184,News,nyt://article/abb4fc61-2784-5aab-b10f-e2bcbf9832ce,The technology giants said they would embed a feature in iPhones and Android devices to enable users to track infected people they’d come close to.,"OAKLAND, Calif. — In one of the most far-ranging attempts to halt the spread of the coronavirus, Apple and Google said they were building software into smartphones that would tell people if they were recently in contact with someone who was infected with it.",The technology giants said they would embed a feature in iPhones and Android devices to enable users to track infected people they’d come close to.,Apple and Google Team Up to ‘Contact Trace’ the Coronavirus,"The technology giants said they would embed a feature in iPhones and Android devices to enable users to track infected people they’d come close to. OAKLAND, Calif. — In one of the most far-ranging attempts to halt the spread of the coronavirus, Apple and Google said they were building software into smartphones that would tell people if they were recently in contact with someone who was infected with it. The technology giants said they would embed a feature in iPhones and Android devices to enable users to track infected people they’d come close to. Apple and Google Team Up to ‘Contact Trace’ the Coronavirus ",1,2,0.25,0.375
179,2020-08-06 16:43:22+00:00,1096,News,nyt://article/b0422b31-eacc-50fb-8455-2104a00da9b2,It’s time to rethink how we treat and enable these brilliant — but damaging — tech personalities.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,It’s time to rethink how we treat and enable these brilliant — but damaging — tech personalities.,The Cult of the Tech Genius,It’s time to rethink how we treat and enable these brilliant — but damaging — tech personalities. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. It’s time to rethink how we treat and enable these brilliant — but damaging — tech personalities. The Cult of the Tech Genius ,5,0,0.9,1.0
